id,primerPair,fastaid
0,4,ref|NC_030592.1|
1,1,ref|NC_015799.1|
2,2,ref|NC_015799.1|
3,3,ref|NC_015799.1|
4,6,ref|NC_015799.1|
5,8,ref|NC_015799.1|
6,15,ref|NC_021746.1|
7,6,ref|NC_011520.1|
8,15,ref|NC_011520.1|
9,15,ref|NC_024404.1|
10,1,ref|NC_023462.1|
11,2,ref|NC_023462.1|
12,3,ref|NC_023462.1|
13,4,ref|NC_023462.1|
14,8,ref|NC_023462.1|
15,5,ref|NC_026675.1|
16,15,ref|NC_026675.1|
17,1,ref|NC_026666.1|
18,2,ref|NC_026666.1|
19,4,ref|NC_026666.1|
20,5,ref|NC_026666.1|
21,7,ref|NC_026666.1|
22,8,ref|NC_026666.1|
23,15,ref|NC_026666.1|
24,6,ref|NC_030602.1|
25,15,ref|NC_030602.1|
26,15,ref|NC_034135.1|
27,6,ref|NC_034089.1|
28,15,ref|NC_034089.1|
29,15,ref|NC_034107.1|
30,1,ref|NC_034122.1|
31,2,ref|NC_034122.1|
32,3,ref|NC_034122.1|
33,5,ref|NC_034122.1|
34,6,ref|NC_034122.1|
35,8,ref|NC_034122.1|
36,15,ref|NC_034122.1|
37,15,ref|NC_018754.1|
38,5,ref|NC_013580.1|
39,15,ref|NC_029498.1|
40,4,ref|NC_029511.1|
41,15,ref|NC_029511.1|
42,15,ref|NC_029502.1|
43,15,ref|NC_029500.1|
44,15,ref|NC_029497.1|
45,15,ref|NC_029506.1|
46,15,ref|NC_013604.1|
47,15,ref|NC_029496.1|
48,1,ref|NC_029514.1|
49,8,ref|NC_029514.1|
50,15,ref|NC_029514.1|
51,15,ref|NC_029508.1|
52,15,ref|NC_029512.1|
53,15,ref|NC_029505.1|
54,15,ref|NC_029507.1|
55,15,ref|NC_029501.1|
56,15,ref|NC_029504.1|
57,15,ref|NC_029509.1|
58,15,ref|NC_029503.1|
59,1,ref|NC_029510.1|
60,8,ref|NC_029510.1|
61,15,ref|NC_029510.1|
62,15,ref|NC_029513.1|
63,15,ref|NC_029499.1|
64,5,ref|NC_014887.1|
65,2,ref|NC_011303.1|
66,3,ref|NC_011303.1|
67,4,ref|NC_011303.1|
68,5,ref|NC_011303.1|
69,2,ref|NC_026104.1|
70,5,ref|NC_026104.1|
71,15,ref|NC_018133.1|
72,4,ref|NC_011594.1|
73,6,ref|NC_011594.1|
74,15,ref|NC_011594.1|
75,5,ref|NC_013554.1|
76,4,ref|NC_023796.1|
77,6,ref|NC_023796.1|
78,4,ref|NC_027143.1|
79,6,ref|NC_027143.1|
80,4,ref|NC_027144.1|
81,6,ref|NC_027144.1|
82,15,ref|NC_008141.1|
83,15,ref|NC_021396.1|
84,15,ref|NC_027577.1|
85,1,ref|NC_025495.1|
86,2,ref|NC_025495.1|
87,3,ref|NC_025495.1|
88,8,ref|NC_025495.1|
89,1,ref|NC_025243.1|
90,2,ref|NC_025243.1|
91,3,ref|NC_025243.1|
92,5,ref|NC_025243.1|
93,8,ref|NC_025243.1|
94,15,ref|NC_025243.1|
95,15,ref|NC_028332.1|
96,15,ref|NC_034025.1|
97,6,ref|NC_030758.1|
98,5,ref|NC_015842.1|
99,15,ref|NC_022185.1|
100,15,ref|NC_022689.1|
101,6,ref|NC_026996.1|
102,15,ref|NC_029155.1|
103,15,ref|NC_006160.1|
104,4,ref|NC_024664.1|
105,1,ref|NC_034079.1|
106,2,ref|NC_034079.1|
107,3,ref|NC_034079.1|
108,5,ref|NC_034079.1|
109,8,ref|NC_034079.1|
110,9,ref|NC_034079.1|
111,15,ref|NC_034079.1|
112,6,ref|NC_018542.1|
113,15,ref|NC_018542.1|
114,2,ref|NC_034022.1|
115,3,ref|NC_034022.1|
116,15,ref|NC_034022.1|
117,1,ref|NC_034099.1|
118,9,ref|NC_034099.1|
119,15,ref|NC_034099.1|
120,15,ref|NC_021416.1|
121,4,ref|NC_034038.1|
122,5,ref|NC_034038.1|
123,15,ref|NC_034038.1|
124,4,ref|NC_034075.1|
125,5,ref|NC_034075.1|
126,15,ref|NC_034075.1|
127,4,ref|NC_034062.1|
128,5,ref|NC_034062.1|
129,15,ref|NC_034062.1|
130,4,ref|NC_034124.1|
131,5,ref|NC_034124.1|
132,15,ref|NC_034124.1|
133,15,ref|NC_028443.1|
134,4,ref|NC_009967.1|
135,15,ref|NC_009967.1|
136,1,ref|NC_015998.1|
137,6,ref|NC_015998.1|
138,7,ref|NC_015998.1|
139,9,ref|NC_015998.1|
140,10,ref|NC_015998.1|
141,11,ref|NC_015998.1|
142,12,ref|NC_015998.1|
143,13,ref|NC_015998.1|
144,14,ref|NC_015998.1|
145,15,ref|NC_015998.1|
146,5,ref|NC_031821.1|
147,15,ref|NC_030268.1|
148,15,ref|NC_032694.1|
149,2,ref|NC_030360.1|
150,3,ref|NC_030360.1|
151,4,ref|NC_030360.1|
152,15,ref|NC_030361.1|
153,4,ref|NC_025558.1|
154,6,ref|NC_025558.1|
155,4,ref|NC_025946.1|
156,6,ref|NC_025946.1|
157,15,ref|NC_034092.1|
158,6,ref|NC_030718.1|
159,6,ref|NC_030716.1|
160,6,ref|NC_028214.1|
161,4,ref|NC_020768.1|
162,1,ref|NC_008070.1|
163,2,ref|NC_008070.1|
164,3,ref|NC_008070.1|
165,4,ref|NC_008070.1|
166,5,ref|NC_008070.1|
167,6,ref|NC_008070.1|
168,8,ref|NC_008070.1|
169,4,ref|NC_028221.1|
170,6,ref|NC_028223.1|
171,1,ref|NC_029230.1|
172,5,ref|NC_029230.1|
173,6,ref|NC_029230.1|
174,8,ref|NC_029230.1|
175,15,ref|NC_008221.1|
176,2,ref|NC_034120.1|
177,3,ref|NC_034120.1|
178,5,ref|NC_034120.1|
179,6,ref|NC_034120.1|
180,15,ref|NC_034120.1|
181,6,ref|NC_034123.1|
182,15,ref|NC_034123.1|
183,15,ref|NC_030270.1|
184,15,ref|NC_027071.1|
185,15,ref|NC_004622.2|
186,15,ref|NC_012739.1|
187,15,ref|NC_025274.1|
188,5,ref|NC_013582.1|
189,15,ref|NC_016062.1|
190,15,ref|NC_015537.1|
191,6,ref|NC_031387.1|
192,15,ref|NC_031387.1|
193,4,ref|NC_024581.1|
194,6,ref|NC_024581.1|
195,15,ref|NC_024581.1|
196,1,ref|NC_034031.1|
197,9,ref|NC_034031.1|
198,15,ref|NC_034031.1|
199,4,ref|NC_014295.1|
200,5,ref|NC_014295.1|
